,UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO,POPULAÇÃO ESTIMADA
488,MA,21.0,2200.0,Buriti,28678
489,MA,21.0,2309.0,Buriti Bravo,23884
490,MA,21.0,2325.0,Buriticupu,72358
491,MA,21.0,2358.0,Buritirana,15430
492,MA,21.0,2374.0,Cachoeira Grande,9431
493,MA,21.0,2408.0,Cajapió,11177
494,MA,21.0,2507.0,Cajari,19379
495,MA,21.0,2556.0,Campestre do Maranhão,14374
496,MA,21.0,2606.0,Cândido Mendes,20178
497,MA,21.0,2705.0,Cantanhede,21995
498,MA,21.0,2754.0,Capinzal do Norte,10934
499,MA,21.0,2804.0,Carolina,24322
500,MA,21.0,2903.0,Carutapera,23807
501,MA,21.0,3000.0,Caxias,164880
502,MA,21.0,3109.0,Cedral,10675
503,MA,21.0,3125.0,Central do Maranhão,8673
504,MA,21.0,3158.0,Centro do Guilherme,13458
505,MA,21.0,3174.0,Centro Novo do Maranhão,21622
506,MA,21.0,3208.0,Chapadinha,79675
507,MA,21.0,3257.0,Cidelândia,14697
508,MA,21.0,3307.0,Codó,122859
509,MA,21.0,3406.0,Coelho Neto,49435
510,MA,21.0,3505.0,Colinas,41178
511,MA,21.0,3554.0,Conceição do Lago-Açu,16237
512,MA,21.0,3604.0,Coroatá,65296
513,MA,21.0,3703.0,Cururupu,32695
514,MA,21.0,3752.0,Davinópolis,12908
515,MA,21.0,3802.0,Dom Pedro,23350
516,MA,21.0,3901.0,Duque Bacelar,11349
517,MA,21.0,4008.0,Esperantinópolis,17241
518,MA,21.0,4057.0,Estreito,41946
519,MA,21.0,4073.0,Feira Nova do Maranhão,8504
520,MA,21.0,4081.0,Fernando Falcão,10360
521,MA,21.0,4099.0,Formosa da Serra Negra,19089
522,MA,21.0,4107.0,Fortaleza dos Nogueiras,12631
523,MA,21.0,4206.0,Fortuna,15552
524,MA,21.0,4305.0,Godofredo Viana,11819
525,MA,21.0,4404.0,Gonçalves Dias,17934
526,MA,21.0,4503.0,Governador Archer,10840
527,MA,21.0,4552.0,Governador Edison Lobão,18296
528,MA,21.0,4602.0,Governador Eugênio Barros,16828
529,MA,21.0,4628.0,Governador Luiz Rocha,7807
530,MA,21.0,4651.0,Governador Newton Bello,10180
531,MA,21.0,4677.0,Governador Nunes Freire,25577
532,MA,21.0,4701.0,Graça Aranha,6262
533,MA,21.0,4800.0,Grajaú,69527
534,MA,21.0,4909.0,Guimarães,12030
535,MA,21.0,5005.0,Humberto de Campos,28717
536,MA,21.0,5104.0,Icatu,27113
537,MA,21.0,5153.0,Igarapé do Meio,14177
538,MA,21.0,5203.0,Igarapé Grande,11320
539,MA,21.0,5302.0,Imperatriz,258682
540,MA,21.0,5351.0,Itaipava do Grajaú,16057
541,MA,21.0,5401.0,Itapecuru Mirim,68203
542,MA,21.0,5427.0,Itinga do Maranhão,26000
543,MA,21.0,5450.0,Jatobá,10153
544,MA,21.0,5476.0,Jenipapo dos Vieiras,16515
545,MA,21.0,5500.0,João Lisboa,23632
546,MA,21.0,5609.0,Joselândia,16168
547,MA,21.0,5658.0,Junco do Maranhão,3432
548,MA,21.0,5708.0,Lago da Pedra,50266
549,MA,21.0,5807.0,Lago do Junco,10840
